,index,name,cnt,unit,gram,cal,carbs,protein,fat,sugar,salt
163,616,[오뚜기] 돈까스소스,1,종지,15,18,4.23,0.27,0,0,0
164,945,떡갈비,1,인분,200,416,4.05,32.98,29.19,1.16,579
165,776,피조개무침,1,소접시,162,114,12.1,10.83,2.16,0,0
166,520,[오뚜기] 오트밀스프 녹차,1,인분,25,85,0,0,0,0,0
167,948,돼지불고기,1,인분,250,464,12.74,30.32,30.9,6.3,688
168,239,조개살배추국,1,대접,125,68,6.67,7.32,1.62,0,0
169,440,[오뚜기] 3분삼계죽,1,인분,230,90,18.5,2,0.5,0,0
170,260,닭무국,1,대접,130,122,4.48,12.11,6.44,0,0
171,669,보쌈김치,1,소접시,74,49,16.29,21.83,10.23,0,0
172,868,마늘쫑볶음,1,소접시,92,75,16.1,3.2,1.6,14.3,1113
173,684,양파겉절이,1,소접시,67,33,7.68,1.18,0.17,0,0
174,238,조개국,1,대접,79,59,3.61,6.8,3.26,0,0
175,574,초장,1,종지,28,42,11.4,1,0,6.6,773
176,811,은행 삶은것,1,종지,30,49,0,0,0,0,0
177,789,골뱅이소면무침,1,인분,250,293,34.68,29.85,4.46,7.07,733
178,447,[동원] 양반 삼계죽,1,회분,285,175,33,10,0.6,2,520
179,290,오이냉국,1,대접,104,22,2.45,1.07,0.15,0,0
180,736,게맛살무침,1,소접시,95,85,9.77,4.93,2.5,0,0
181,906,진미채볶음,1,접시,50,139,20.8,9.3,2.1,5.8,582
182,822,잡채,1,인분,150,285,43.23,7.59,10.16,3.03,808
183,224,아욱국,1,대접,982,289,10.53,19.65,3.29,0,0
184,771,노각무침,1,소접시,100,56,9.55,1.71,1.22,4.71,544.91
185,891,뱅어포볶음,1,소접시,28,67,8.12,5.42,3.52,0,0
186,999,가자미구이,1,회,100,157,1.76,21.6,7.08,0.21,665.6
187,410,잣죽,1,인분,210,340,37.3,5.1,12,0,0
188,316,[훼밀리마트] 도시락친구계란국,1,회분,4,15,3.45,0.3,0,0,0
189,237,쇠고기두부국,1,대접,95,93,2.78,11.77,5.59,0,0
190,337,조기찌개,1,인분,171,135,9.7,17.8,3.4,0,728.6
191,227,배추된장국,1,인분,200,107,14.4,6.33,3.35,4.98,1290
192,491,종가집아침에먹는단팥죽,1,인분,270,235,0,0,0,0,0
193,487,[CJ] 인델리치킨반달루,1,인분,160,205,0,0,0,0,0
194,319,호박된장찌개,1,뚝배기,195,146,15.76,9.61,2.95,0,0
195,258,쑥국,1,인분,250,70,8.55,7.31,1.48,0.6,362
196,172,[동원] 쎈쿡 건강한 혼합곡밥,1,인분,210,310,72,5,0,0,10
197,758,파래무침,1,소접시,77,29,4.16,3.44,0.61,0.34,579
198,859,느타리버섯볶음,1,소접시,100,91,7.8,3.4,5.1,1.42,434.25
199,861,버섯채소볶음,1,소접시,118,77,5.97,2.28,5.64,0,0
200,733,오징어무침,1,소접시,143,103,11.76,11.56,3.09,0,0
201,732,미역초무침,1,소접시,84,33,9.71,1.82,0.28,0,0
202,69,[훼밀리마트] 매콤제육김치삼각김밥,1,개,112,187,38,4,2,0,0
203,953,닭불고기,1,소접시,115,170,9.25,12.69,9.71,0,0
204,351,섞어찌개,1,대접,198,147,16.1,10.4,5.5,15.3,1203
205,129,비프케밥,1,인분,200,395,0,0,0,0,0
206,871,멸치깻잎볶음,1,소접시,40,49,2.93,7.43,1.3,0,0
207,549,술떡,1,개,30,54,11.3,1.08,0.3,0.09,3
208,130,치킨케밥,1,인분,200,360,0,0,0,0,0
209,242,홍합무국,1,대접,84,63,3.64,4.4,2.53,0,0
210,58,삼각김밥 김치불고기,1,개,100,189,0,0,0,0,0
211,42,김밥,1,줄,200,318,57.6,7.3,6.5,0.5,833.29
212,957,닭꼬치구이,1,개,150,139,0,0,0,0,0
213,156,잡곡밥,1,공기,210,340,73.47,8.82,1.98,0.1,273
214,519,[오뚜기] 오트밀스프 오곡,1,인분,25,90,18.63,1.62,1,0,0
215,666,동치미,1,인분,100,18,3.55,1.47,0.24,1.76,508
216,280,새알미역국,1,대접,53,137,0,0,0,0,0
217,91,[CJ] 고추참치덮밥,1,인분,320,395,71.07,14.18,6,0,0
218,145,찰밥,1,공기,210,321,79.54,9.4,0.62,0,0
219,175,[동원] 쎈쿡 발아현미밥 210g,1,개,210,310,73,6,2.2,3,55
220,240,감자된장국,1,대접,128,101,12.97,5.12,1.02,0,0
221,182,[CJ] 햇반 쌀밥 210g,1,개,210,315,70,5,1.5,0,15
